,30min_Coin1,30min_Coin2,30min_Score,30min_P-Value,30min_OLS-Constant,30min_OLS-Coefficient,30min_R-squared,30min_Adjusted-R-squared
0,BTCUSDT,ETHUSDT,-3.5404117187421167,0.028977211940544517,-10608.848000289683,22.142680055314145,0.9618231750653675,0.9618217208763249
1,BTCUSDT,BNBUSDT,-1.7813970618533277,0.638713424910023,2791.8881028868805,105.85957559652712,0.7585089531033189,0.758499754495659
2,BTCUSDT,NEOUSDT,-2.3127062479075278,0.3672299065588851,-7813.70352352668,4171.129274542544,0.6737028735542399,0.6736904446079691
3,BTCUSDT,LTCUSDT,-0.532002146378717,0.9619737116188919,34316.16534606019,58.48678829935542,0.0016656353406526714,0.001627607901325434
4,BTCUSDT,QTUMUSDT,-1.4925172531479753,0.7640501910241346,-14994.68784224225,17950.95983112314,0.5869283572966633,0.5869126230322858
5,BTCUSDT,ADAUSDT,-0.3390013347188245,0.9740087797896722,623.6954680093722,94333.47726426556,0.5185926195089071,0.5185742822758104
6,BTCUSDT,XRPUSDT,-0.3311346745911855,0.9743997467721288,1555.8351459143798,71589.03431854471,0.15260184043895975,0.1525695622932408
7,BTCUSDT,EOSUSDT,-0.7400235074986087,0.9421425821317653,41612.312668925726,-3087.833616375599,0.0013757079659343363,0.0013376694830168345
8,BTCUSDT,TUSDUSDT,-1.8701246177258926,0.5950787178656399,65419.43223452976,-30293.684920375683,0.37917808810350484,0.37915444044754565
9,BTCUSDT,IOTAUSDT,-0.481583425578908,0.9656171420705719,571.142910205655,178263.0094647066,0.32128004303464,0.32125418999091304
10,BTCUSDT,XLMUSDT,-0.009412298448812362,0.9856792107143156,2852.55265024576,330237.7616332961,0.14020854511161795,0.14017579489431375
11,BTCUSDT,ONTUSDT,-2.2788267235296993,0.3841642772331262,-11950.57298926731,216003.18417041816,0.6133709279316528,0.6133562008881885
12,BTCUSDT,TRXUSDT,-1.8323399048469278,0.6138845902961029,-17990.555910754516,619017.3588578578,0.7909626146730817,0.7909546522541077
13,BTCUSDT,ETCUSDT,-2.179900675124564,0.43475122665687227,-18169.951336321974,2628.019025784981,0.7065672545752092,0.7065560774622917
14,BTCUSDT,ICXUSDT,-0.0922063613424811,0.9835129249637299,12678.05467133681,113958.70198538754,0.11444769618906558,0.1144139647182314
15,BTCUSDT,NULSUSDT,-2.03327495167219,0.5112435765780732,14925.132899734888,79282.09009490414,0.6512430243086305,0.6512297398468283
16,BTCUSDT,VETUSDT,-1.0786373562443594,0.8868893195795432,195.16118448914665,1484134.3280760997,0.6994778251145781,0.6994663779590193
17,BTCUSDT,USDCUSDT,-1.9517864880520492,0.5535308300354236,65347.48360343511,-30154.897514733017,0.37704057013861847,0.3770168410627086
18,BTCUSDT,LINKUSDT,-1.465690741483804,0.7741117651488262,6726.412943092241,2935.962816480526,0.7558750025773396,0.7558657036401735
19,BTCUSDT,WAVESUSDT,1.0325740877495582,1.0,20727.030557334652,8709.288439176307,0.1228022985555115,0.12276888531887409
20,BTCUSDT,ONGUSDT,-2.7047768796110905,0.1978653236997739,-3298.9445225574314,131491.95185333214,0.6098059607370463,0.6097910979008271
21,BTCUSDT,HOTUSDT,-1.0317926925401306,0.8966496288967792,3982.4108232370645,18463514.830552425,0.5246232570064056,0.5246051494856272
22,BTCUSDT,ZILUSDT,0.21028932836064063,0.9897546903853697,18671.616644264464,861310.8981940871,0.0776020499462563,0.07756691499215385
23,BTCUSDT,ZRXUSDT,-2.4174847736412928,0.31661910842919094,15975.75733387942,69158.71441813433,0.6403640440778987,0.6403503452261133
24,BTCUSDT,FETUSDT,-2.6727837590493047,0.20951956310922742,24353.684116741642,18651.341715664792,0.8639702772238683,0.8639650957313617
25,BTCUSDT,BATUSDT,-0.023383131882766903,0.9853420823067973,-81.77565013040368,168527.3226086667,0.19678655930439848,0.196755964193718
26,BTCUSDT,XMRUSDT,-3.212033223848191,0.06793839878843996,64531.08351130427,-214.5724817064454,0.7900483289578132,0.7900403317128872
27,BTCUSDT,ZECUSDT,-1.705760082440937,0.6742682816646062,76266.78964866314,-1228.8649095068806,0.2775179561678609,0.2774904361875222
28,BTCUSDT,IOSTUSDT,0.21686405106691609,0.9898467557054016,17848.09386943078,2302294.1065862062,0.044350814084085366,0.04431441256098656
29,BTCUSDT,CELRUSDT,-0.6139049908414923,0.9551608972612144,2839.1392208026864,1868107.1492688907,0.47019615586408914,0.4701759751668685
30,BTCUSDT,DASHUSDT,-1.3864254070636208,0.8021283489747351,59768.57387035966,-557.0617394720625,0.17345672837226123,0.17342524460767716
31,BTCUSDT,OMGUSDT,-1.2098089894239474,0.855313708913868,48247.91703413879,-11038.98197723333,0.07310937147431362,0.07307406539011285
32,BTCUSDT,THETAUSDT,-1.580515980456093,0.7290432885377868,12588.517536686262,21590.287563085112,0.7615585542779547,0.7615494718323019
33,BTCUSDT,ENJUSDT,0.01570419329886461,0.9862584785930766,28832.811946732458,30460.391760827762,0.027376708861678867,0.027339660779892583
34,BTCUSDT,MATICUSDT,-0.890428570597794,0.921737298584592,44841.87712486196,-6956.899012274323,0.008366245449799248,0.008328473242640078
35,BTCUSDT,ATOMUSDT,-0.9452246545686673,0.9127531336792778,47661.84567296438,-874.6834711315793,0.011597780492823118,0.011560131377693184
36,BTCUSDT,TFUELUSDT,-1.8215554879814648,0.619193932826192,5709.655452194563,612146.9955306161,0.6894654425711323,0.6894536140350629
37,BTCUSDT,ONEUSDT,-0.03183712469910388,0.9851327210300513,13869.963377997587,1463550.9110061568,0.2886751361373858,0.28864804114390463
