,30min_Coin1,30min_Coin2,30min_Score,30min_P-Value,30min_OLS-Constant,30min_OLS-Coefficient,30min_R-squared,30min_Adjusted-R-squared
0,BTCUSDT,ETHUSDT,-3.5404117187421167,0.028977211940544517,-10608.848000289683,22.142680055314145,0.9618231750653675,0.9618217208763249
1,BTCUSDT,BNBUSDT,-1.7813970618533277,0.638713424910023,2791.8881028868805,105.85957559652712,0.7585089531033189,0.758499754495659
2,BTCUSDT,NEOUSDT,-2.3127062479075278,0.3672299065588851,-7813.70352352668,4171.129274542544,0.6737028735542399,0.6736904446079691
3,BTCUSDT,LTCUSDT,-0.532002146378717,0.9619737116188919,34316.16534606019,58.48678829935542,0.0016656353406526714,0.001627607901325434
4,BTCUSDT,QTUMUSDT,-1.4925172531479753,0.7640501910241346,-14994.68784224225,17950.95983112314,0.5869283572966633,0.5869126230322858
5,BTCUSDT,ADAUSDT,-0.3390013347188245,0.9740087797896722,623.6954680093722,94333.47726426556,0.5185926195089071,0.5185742822758104
6,BTCUSDT,XRPUSDT,-0.3311346745911855,0.9743997467721288,1555.8351459143798,71589.03431854471,0.15260184043895975,0.1525695622932408
7,BTCUSDT,EOSUSDT,-0.7400235074986087,0.9421425821317653,41612.312668925726,-3087.833616375599,0.0013757079659343363,0.0013376694830168345
8,BTCUSDT,TUSDUSDT,-1.8701246177258926,0.5950787178656399,65419.43223452976,-30293.684920375683,0.37917808810350484,0.37915444044754565
9,BTCUSDT,IOTAUSDT,-0.481583425578908,0.9656171420705719,571.142910205655,178263.0094647066,0.32128004303464,0.32125418999091304
10,BTCUSDT,XLMUSDT,-0.009412298448812362,0.9856792107143156,2852.55265024576,330237.7616332961,0.14020854511161795,0.14017579489431375
11,BTCUSDT,ONTUSDT,-2.2788267235296993,0.3841642772331262,-11950.57298926731,216003.18417041816,0.6133709279316528,0.6133562008881885
12,BTCUSDT,TRXUSDT,-1.8323399048469278,0.6138845902961029,-17990.555910754516,619017.3588578578,0.7909626146730817,0.7909546522541077
13,ETHUSDT,BNBUSDT,-2.3169772063570107,0.3651126017306501,608.4500424277231,4.771298765143663,0.7854865813770463,0.7854784103711185
14,ETHUSDT,NEOUSDT,-1.8471446161183194,0.6065527296613472,203.3580587031865,181.50842818703126,0.650309089358905,0.6502957693226943
15,ETHUSDT,LTCUSDT,-0.6067060906306636,0.9558075605256725,1609.2176607426188,7.8423885968103155,0.015266034123739614,0.015228524735636406
16,ETHUSDT,QTUMUSDT,-1.2389439108023004,0.8474061358660923,-149.81169087156806,794.6610762971865,0.5863254661436627,0.5863097089146276
17,ETHUSDT,ADAUSDT,-0.4354218050557964,0.9686240334300598,510.34016583605904,4252.740844881837,0.537276213876136,0.5372585883176808
18,ETHUSDT,XRPUSDT,-0.37974388666076636,0.9718715474091925,733.5343163640168,2881.3243404487544,0.1260132439505801,0.12597995302169396
19,ETHUSDT,EOSUSDT,-0.8065044182646451,0.9338436587738107,2108.6465162384743,159.8190773753638,0.0018786282168109514,0.0018406088905708051
20,ETHUSDT,TUSDUSDT,-2.1550910091783217,0.44762832359592625,3398.4280863959125,-1327.7718123131046,0.3713223122150011,0.37129836532558724
21,ETHUSDT,IOTAUSDT,-0.36754557983064656,0.9725316782332781,477.156018213238,8179.263267918197,0.3447901005234786,0.34476514299864425
22,ETHUSDT,XLMUSDT,-0.12113231873613531,0.9826535385997959,806.8844008685007,13098.328511839773,0.11243924183768972,0.11240543386305213
23,ETHUSDT,ONTUSDT,-2.013566892160374,0.5215189166606289,4.6679505565363195,9478.574961487404,0.6020798765828888,0.6020647194532878
24,ETHUSDT,TRXUSDT,-1.8396672400129839,0.610261936872048,-166.95633733368498,26149.424578191338,0.7195147588138895,0.7195040748828649
25,BNBUSDT,NEOUSDT,-1.7678017605136702,0.6452259635204842,-21.04261233550684,32.356134824436005,0.598927091607542,0.5989118143855714
26,BNBUSDT,LTCUSDT,-0.09914858795603557,0.9833118328423327,58.45456430383862,3.518651908526604,0.08906694908788482,0.08903225084193533
27,BNBUSDT,QTUMUSDT,-0.9952053054465034,0.9037528111671054,-57.93958463831715,133.00007697229583,0.476006751838301,0.4759867924718225
28,BNBUSDT,ADAUSDT,0.08411961904791537,0.9876745493224938,95.84651703669417,605.4342567794464,0.315593617661185,0.3155675480164839
29,BNBUSDT,XRPUSDT,-0.056557646378496466,0.9844965335724757,316.8066090841131,48.8357388940857,0.0010491603634851243,0.0010111094420804934
30,BNBUSDT,EOSUSDT,0.4328311469615509,0.9921622292385066,210.4509955252594,158.08254632661684,0.05327039306188697,0.053234331293443904
31,BNBUSDT,TUSDUSDT,-2.1188367861412694,0.46652523351025516,599.9609237351018,-295.7574164376829,0.5339614424927123,0.5339436906716821
32,BNBUSDT,IOTAUSDT,0.008235942896489983,0.9860897546314256,81.18655499870056,1210.4742861119012,0.21886282633685894,0.218833072130724
33,BNBUSDT,XLMUSDT,-0.02351968102255547,0.9853387331309713,313.47561551605054,263.7527030908762,0.0013213395764035685,0.0012832990225460916
34,BNBUSDT,ONTUSDT,-2.1584160628450233,0.44589946398213054,-85.4796706123592,1812.6094520769684,0.6381326232325866,0.6381188393840067
35,BNBUSDT,TRXUSDT,-0.8578871053591186,0.926659803167182,22.405230465368483,3473.261091028506,0.36789573151690835,0.36787165410600364
36,NEOUSDT,LTCUSDT,-2.3621349788506016,0.34299185014160627,4.704740776136817,0.08089033477104156,0.0822804286930251,0.08224547194250875
