,30min_Coin1,30min_Coin2,30min_Score,30min_P-Value,30min_OLS-Constant,30min_OLS-Coefficient,30min_R-squared,30min_Adjusted-R-squared
0,BTCUSDT,ETHUSDT,-3.5404117187421167,0.028977211940544517,-10608.848000289683,22.142680055314145,0.9618231750653675,0.9618217208763249
1,BTCUSDT,BNBUSDT,-1.7813970618533277,0.638713424910023,2791.8881028868805,105.85957559652712,0.7585089531033189,0.758499754495659
2,BTCUSDT,XRPUSDT,-0.3311346745911855,0.9743997467721288,1555.8351459143798,71589.03431854471,0.15260184043895975,0.1525695622932408
3,BTCUSDT,ADAUSDT,-0.3390013347188245,0.9740087797896722,623.6954680093722,94333.47726426556,0.5185926195089071,0.5185742822758104
4,BTCUSDT,DOGEUSDT,-2.391935648900513,0.3286839134513392,1292.993880363414,401053.4851291215,0.7932608175230601,0.7932529426446662
5,BTCUSDT,SOLUSDT,-3.846617578564721,0.01173481394186472,20635.827923070676,279.83042921364677,0.9521214899802186,0.9521196662454066
6,BTCUSDT,MATICUSDT,-0.890428570597794,0.921737298584592,44841.87712486196,-6956.899012274323,0.008366245449799248,0.008328473242640078
7,BTCUSDT,DOTUSDT,-0.7513374557172925,0.9408054342779508,-7410.23933189348,7541.212316571544,0.48212698704108903,0.48210726079978483
8,BTCUSDT,LTCUSDT,-0.532002146378717,0.9619737116188919,34316.16534606019,58.48678829935542,0.0016656353406526714,0.001627607901325434
9,BTCUSDT,TRXUSDT,-1.8323399048469278,0.6138845902961029,-17990.555910754516,619017.3588578578,0.7909626146730817,0.7909546522541077
10,BTCUSDT,AVAXUSDT,-1.1222484785238331,0.8771028847943934,13548.016335376566,1074.7718218095129,0.714765225964338,0.7147543611194047
11,BTCUSDT,SHIBUSDT,-1.9020478907229708,0.5789678251385162,13921.820350297428,1962202241.9109766,0.7087398437396002,0.7087287493825263
12,BTCUSDT,LINKUSDT,-1.465690741483804,0.7741117651488262,6726.412943092241,2935.962816480526,0.7558750025773396,0.7558657036401735
13,BTCUSDT,ATOMUSDT,-0.9452246545686673,0.9127531336792778,47661.84567296438,-874.6834711315793,0.011597780492823118,0.011560131377693184
14,BTCUSDT,XMRUSDT,-3.212033223848191,0.06793839878843996,64531.08351130427,-214.5724817064454,0.7900483289578132,0.7900403317128872
15,ETHUSDT,BNBUSDT,-2.3169772063570107,0.3651126017306501,608.4500424277231,4.771298765143663,0.7854865813770463,0.7854784103711185
16,ETHUSDT,XRPUSDT,-0.37974388666076636,0.9718715474091925,733.5343163640168,2881.3243404487544,0.1260132439505801,0.12597995302169396
17,ETHUSDT,ADAUSDT,-0.4354218050557964,0.9686240334300598,510.34016583605904,4252.740844881837,0.537276213876136,0.5372585883176808
18,ETHUSDT,DOGEUSDT,-2.591968132063071,0.24007981411072427,570.9502496131371,17756.866149524012,0.7927006027634562,0.7926927065459863
19,ETHUSDT,SOLUSDT,-3.371706721925506,0.04559160461116462,1447.5266321833515,12.083019851764401,0.9049375322800565,0.9049339112665449
20,ETHUSDT,MATICUSDT,-0.9379096040945996,0.9140046841144573,2281.6609190907734,-47.496883366926205,0.00019879001320477485,0.00016070670044110447
21,ETHUSDT,DOTUSDT,-0.7475739030638192,0.9412535531121857,81.90079041823617,350.73020456048357,0.5316068582151741,0.5315890167059453
22,ETHUSDT,LTCUSDT,-0.6067060906306636,0.9558075605256725,1609.2176607426188,7.8423885968103155,0.015266034123739614,0.015228524735636406
23,ETHUSDT,TRXUSDT,-1.8396672400129839,0.610261936872048,-166.95633733368498,26149.424578191338,0.7195147588138895,0.7195040748828649
24,ETHUSDT,AVAXUSDT,-1.3392951340951187,0.8175632453625755,1129.2166645331981,46.92540109831144,0.694563555578408,0.6945519212339741
25,ETHUSDT,SHIBUSDT,-2.136592107809531,0.4572611026309981,1112.4411067929518,88257225.15088399,0.730911817557917,0.7309015677509447
26,ETHUSDT,LINKUSDT,-1.496166042555012,0.7626592966296349,852.8566943231756,126.2348793149578,0.7123160860661115,0.7123051279312723
27,ETHUSDT,ATOMUSDT,-0.985403249381188,0.9055808236048373,2353.4735802004084,-11.301104693060555,0.0009869155101122074,0.0009488622177460382
28,ETHUSDT,XMRUSDT,-3.784714911463033,0.014205160159588677,3381.8429920540916,-9.59281802310442,0.8049393429200165,0.8049319128869886
29,BNBUSDT,XRPUSDT,-0.056557646378496466,0.9844965335724757,316.8066090841131,48.8357388940857,0.0010491603634851243,0.0010111094420804934
30,BNBUSDT,ADAUSDT,0.08411961904791537,0.9876745493224938,95.84651703669417,605.4342567794464,0.315593617661185,0.3155675480164839
31,BNBUSDT,DOGEUSDT,-2.7597713443659506,0.17882062059308101,22.142442006760803,3402.798347804177,0.8436910188258752,0.8436850648784721
32,BNBUSDT,SOLUSDT,-1.5015079957738338,0.7606133674904234,207.57357296462524,2.050110169154642,0.7550165574252455,0.755007225789144
33,BNBUSDT,MATICUSDT,0.1335551226489375,0.988564854483126,295.59608408794026,56.04642811819814,0.008022221870098933,0.00798443655877723
34,BNBUSDT,DOTUSDT,-0.5736595582726469,0.9586548030351552,-10.615967629181918,57.3136512154176,0.41142894683432585,0.41140652764211294
35,BNBUSDT,LTCUSDT,-0.09914858795603557,0.9833118328423327,58.45456430383862,3.518651908526604,0.08906694908788482,0.08903225084193533
36,BNBUSDT,TRXUSDT,-0.8578871053591186,0.926659803167182,22.405230465368483,3473.261091028506,0.36789573151690835,0.36787165410600364
37,BNBUSDT,AVAXUSDT,-0.5105997844774873,0.9635683451689185,166.28637923579416,7.425383929662062,0.5040438096934348,0.5040249182832985
38,BNBUSDT,SHIBUSDT,-2.5610907404090892,0.2528105528864649,119.76864539286721,17392812.38555038,0.8226943668053657,0.8226876130769082
39,BNBUSDT,LINKUSDT,-0.5997256709344085,0.9564254343099398,154.31886000347777,17.08880468798811,0.37833092222762665,0.3783072423023697
40,BNBUSDT,ATOMUSDT,0.06361405759864625,0.987273675810499,299.76027437602755,4.3208709127857015,0.004181337415237074,0.004143405801227851
41,BNBUSDT,XMRUSDT,-3.469745731380115,0.035173266999115785,557.8235252630725,-1.81323391392761,0.8335139307810733,0.8335075891793813
42,XRPUSDT,ADAUSDT,-2.6863172565028406,0.20453833709748598,0.41595635101024797,0.26420563424274135,0.13661929230099257,0.13658640536587285
43,XRPUSDT,DOGEUSDT,-2.792679283200379,0.16802509217611628,0.4726566280468384,0.5406741592319205,0.04841900693148604,0.04838276036945255
44,XRPUSDT,SOLUSDT,-2.784556395571082,0.1706479991383606,0.48892508614684554,0.0005264183551977041,0.11316126013832184,0.11312747966600023
45,XRPUSDT,MATICUSDT,-3.14218123435451,0.08014088862392965,0.6001083018660082,-0.0917411722303334,0.04886084919005518,0.04882461945818417
46,XRPUSDT,DOTUSDT,-2.7050591694600854,0.19776436838025124,0.43045560434600494,0.01511352759439714,0.06503453343893761,0.064998919777011
47,XRPUSDT,LTCUSDT,-3.043193997605476,0.10029175583450206,0.5801297006959253,-0.0007013417371886751,0.008043720774653429,0.008005936282243997
48,XRPUSDT,TRXUSDT,-2.79071752289073,0.1686560412108431,0.3429267794529153,1.9605408462905165,0.26646202720760503,0.26643408609714947
49,XRPUSDT,AVAXUSDT,-2.790897484576711,0.1685980946551231,0.4669376492582266,0.0023867858168999975,0.11838345373745462,0.118349872183108
50,XRPUSDT,SHIBUSDT,-2.8320051189394104,0.15571354658526187,0.5002146874986206,1822.3623121415803,0.020530616977290972,0.02049330812180694
