date,coint_score,p_value
1400,-1.399365127565438,0.7977307815610737
1401,-1.3891389386525619,0.8012118628203859
1402,-1.3713731914625744,0.8071571615065697
1403,-1.3642876486246922,0.809492106292274
1404,-1.3683022487777792,0.8081716852344427
1405,-1.3814403339745271,0.8038041442194647
1406,-1.3304199906296648,0.8203677035831416
1407,-1.3417874904179947,0.8167698752586365
1408,-1.355481833087359,0.8123651643896237
1409,-1.30827111691052,0.8272259030674651
1410,-1.3284634641402695,0.8209816040066322
1411,-1.246821178007729,0.8452104139244644
1412,-1.200045425111334,0.8578890588620884
1413,-1.2103857307141828,0.8551604156701988
1414,-1.1112233525784114,0.8796421978024825
1415,-1.111523900049026,0.8795735663602661
1416,-1.2122462697931005,0.8546650110580016
1417,-1.2027712482124155,0.8571738075523088
1418,-1.1547173492703648,0.869362803937157
1419,-1.1769174127792252,0.8638418984554719
1420,-1.1764576931938815,0.8639581334717715
1421,-1.2028036940808817,0.8571652763734214
1422,-1.2740595890006654,0.8374266302246682
1423,-1.2365762775486764,0.8480612692027181
1424,-1.2109456307006565,0.8550114740978154
1425,-1.1903395909000287,0.8604123995527213
1426,-1.2046180259851895,0.8566875701654552
1427,-1.2487393225120724,0.8446720031484782
1428,-1.2501986500166948,0.8442613954861595
1429,-1.1962338923474283,0.8588843494600675
1430,-1.1660633784013372,0.8665646285888042
1431,-1.1354790628649571,0.873996405948188
1432,-1.132864020655216,0.8746155560814406
1433,-1.0690378655864539,0.8889518199430537
1434,-1.1781714268966368,0.8635244224435676
1435,-1.2132983522485394,0.8543842731488556
1436,-1.209391650871845,0.8554245529679076
1437,-1.198810385781381,0.8582121786041103
1438,-1.334124780948671,0.8192009527147741
1439,-1.3281105373576363,0.8210921751290814
1440,-1.3018048097184063,0.829190370802654
1441,-1.3335611960502123,0.8193788054751241
1442,-1.3503825468618156,0.8140143245331206
1443,-1.3308506439415078,0.8202323666859042
1444,-1.365326964773039,0.8091509063212808
1445,-1.3940069463927598,0.7995601168255502
1446,-1.3620415861608268,0.8102279547051989
1447,-1.36076185941134,0.8106462871542833
1448,-1.3849401035541795,0.8026287220772578
1449,-1.4134127325735932,0.7928787544712872
