Date,Open,High,Low,Close,Volume
2024-07-23,554.5400,556.7350,553.2750,553.7800,34439561
2024-07-22,553.0000,555.2700,551.0200,554.6500,43346720
2024-07-19,552.4200,554.0800,547.9100,548.9900,65509081
2024-07-18,558.5100,559.5200,550.4300,552.6600,56270392
2024-07-17,558.8000,560.5100,556.6100,556.9400,57118956
2024-07-16,562.8650,565.1600,562.1000,564.8600,36475260
2024-07-15,562.0300,564.8371,559.6300,561.5300,40584293
2024-07-12,557.6300,563.6700,557.1500,559.9900,53084405
2024-07-11,561.4400,562.3300,555.8300,556.4800,53054184
2024-07-10,557.0700,561.6700,556.7700,561.3200,38701220
2024-07-09,556.2600,557.1800,555.5200,555.8200,27314125
2024-07-08,555.4400,556.2501,554.1900,555.2800,36110451
2024-07-05,551.7700,555.0500,551.1200,554.6400,41488389
2024-07-03,548.6900,551.8300,548.6500,551.4600,32789911
2024-07-02,543.7000,549.0100,543.6500,549.0100,40434792
2024-07-01,545.6300,545.8800,542.5200,545.3400,40297810
2024-06-28,547.1600,550.2800,542.9500,544.2200,76144535
2024-06-27,545.3700,546.9600,544.6100,546.3700,35041480
2024-06-26,543.6900,546.2400,543.0300,545.5100,38550637
2024-06-25,543.9900,545.2000,542.4400,544.8300,38273346
2024-06-24,544.3300,546.9500,542.6200,542.7400,45528654
2024-06-21,544.4000,545.6500,543.0200,544.5100,64513859
2024-06-20,549.4400,550.1200,545.1800,547.0000,70328226
2024-06-18,547.1600,548.6200,546.7300,548.4900,41376417
2024-06-17,542.0800,548.5300,541.6072,547.1000,55839457
2024-06-14,540.8800,542.8100,539.8500,542.7800,40089895
2024-06-13,543.1500,543.3250,539.5900,542.4500,44760949
2024-06-12,541.6300,544.1200,540.3000,541.3600,63251305
2024-06-11,534.0700,537.0100,532.0500,536.9500,36383411
2024-06-10,533.1800,535.9900,532.5700,535.6600,35729252
2024-06-07,533.6600,536.8900,532.5350,534.0100,43224525
2024-06-06,534.9800,535.4200,532.6800,534.6600,30808530
2024-06-05,530.7700,534.6900,528.7254,534.6700,47610365
