time,Trend,Seasonality,Residual
2024-08-13 16:29:00,206.48804687499998,0.9982465664803815,1.0034639795264324
2024-08-13 16:30:00,206.49210416666665,0.9979817670745532,1.0025458890841128
2024-08-13 16:31:00,206.49606250000002,0.9980751020610468,1.0030151656026156
2024-08-13 16:32:00,206.50019791666665,0.9981893352232591,1.0028560389021979
2024-08-13 16:33:00,206.50441666666666,0.9980741289526662,1.0034122333561253
2024-08-13 16:34:00,206.50857291666668,0.9981596505425443,1.0029664745504294
2024-08-13 16:35:00,206.5125208333333,0.9979842225876592,1.0030750801132324
2024-08-13 16:36:00,206.5161458333333,0.9979985816877257,1.0033826774449865
2024-08-13 16:37:00,206.5198125,0.9979436760128223,1.003371545497803
2024-08-13 16:38:00,206.523625,0.9979989877083032,1.0037340737249196
2024-08-13 16:39:00,206.52783333333335,0.9981675565488305,1.0038351666726646
2024-08-13 16:40:00,206.53211458333334,0.9980541673945195,1.004122453595093
2024-08-13 16:41:00,206.53583333333333,0.9981523598938657,1.0042481328568802
2024-08-13 16:42:00,206.53914583333335,0.9981401698181399,1.0043898126379873
2024-08-13 16:43:00,206.54255208333333,0.9982210687179683,1.004631368182859
2024-08-13 16:44:00,206.54614583333333,0.9980701030438118,1.004765843812256
2024-08-13 16:45:00,206.54976041666666,0.9978601783316497,1.004862597775551
2024-08-13 16:46:00,206.55338541666666,0.9979886578201922,1.0055402908490736
2024-08-13 16:47:00,206.5569270833333,0.9978563881467344,1.0062870540374262
2024-08-13 16:48:00,206.5604375,0.9978987546084894,1.005936147177568
2024-08-13 16:49:00,206.5640208333333,0.9977262068662178,1.006480833187797
2024-08-13 16:50:00,206.56765624999997,0.9980660208500862,1.006265959294193
2024-08-13 16:51:00,206.57141666666666,0.9978835519007541,1.006528663810045
2024-08-13 16:52:00,206.57537499999998,0.9978141698207116,1.0067734218126336
2024-08-13 16:53:00,206.57979166666667,0.9976992377955028,1.0067708337544423
2024-08-13 16:54:00,206.58427083333333,0.9976642230921676,1.0068813779208543
2024-08-13 16:55:00,206.58859375,0.9977498841447556,1.0068708945542086
2024-08-13 16:56:00,206.59276041666666,0.9976710567212153,1.0064449661772876
2024-08-13 16:57:00,206.59679166666666,0.9976077130160416,1.0068773876371613
2024-08-13 16:58:00,206.60071875000003,0.9975057261594623,1.0068641447591116
2024-08-13 16:59:00,206.6046875,0.997735154880112,1.0066617915165543
2024-08-13 17:00:00,206.60876041666668,0.9977688373530413,1.0065109472182476
2024-08-13 17:01:00,206.61245833333334,0.9975811568353272,1.0067308071338896
2024-08-13 17:02:00,206.61577083333333,0.9973434476673193,1.0069546097767008
2024-08-13 17:03:00,206.618875,0.9972931193623091,1.0054858775269224
2024-08-13 17:04:00,206.62159375000002,0.9972327784765547,1.0058246784021412
2024-08-13 17:05:00,206.624125,0.9972203644656453,1.0060190053518425
2024-08-13 17:06:00,206.62705208333333,0.9973318842909767,1.0056981610703617
2024-08-13 17:07:00,206.63027083333336,0.9976572567985627,1.0052574866080735
2024-08-13 17:08:00,206.63369791666665,0.9977006846217366,1.0054153366425689
2024-08-13 17:09:00,206.63726041666666,0.9974401692206009,1.0052481922452428
2024-08-13 17:10:00,206.64110416666665,0.9974853662177783,1.0048443400801568
2024-08-13 17:11:00,206.6452708333333,0.9976991997490431,1.0047542295534686
2024-08-13 17:12:00,206.64920833333335,0.997794405849656,1.0046877147329085
2024-08-13 17:13:00,206.65268749999998,0.9976110411852627,1.004903968519213
2024-08-13 17:14:00,206.65601041666667,0.9977880297820252,1.0051460340346716
2024-08-13 17:15:00,206.6594479166667,0.9978082677196783,1.0053029086666074
2024-08-13 17:16:00,206.66294791666664,0.9975523295407748,1.005204258545054
2024-08-13 17:17:00,206.66660416666667,0.997439703213931,1.0050574194191126
2024-08-13 17:18:00,206.67028125,0.9974848136639503,1.0052317757667701
2024-08-13 17:19:00,206.67404166666665,0.9978061371460588,1.0053310517543264
2024-08-13 17:20:00,206.67780208333332,0.9976567589140257,1.0050268015387114
2024-08-13 17:21:00,206.6813125,0.9976387609513809,1.0051248587832748
2024-08-13 17:22:00,206.68497916666664,0.9977658157194575,1.004882055614703
2024-08-13 17:23:00,206.68907291666665,0.9975221599094103,1.0047195850301511
2024-08-13 17:24:00,206.69330208333332,0.9975515480247704,1.004232932214592
2024-08-13 17:25:00,206.69759374999998,0.9976527609286218,1.0045951397818689
2024-08-13 17:26:00,206.70188541666664,0.9977931726692366,1.0043844299379523
2024-08-13 17:27:00,206.70619791666664,0.9977849261283934,1.003983894501051
2024-08-13 17:28:00,206.71060416666666,0.9978034679238283,1.0041377705291479
2024-08-13 17:29:00,206.71468749999997,0.9978919624726761,1.0041258447412942
2024-08-13 17:30:00,206.71715625,0.9989878121858321,1.0031092286319192
2024-08-13 17:31:00,206.7188645833333,0.9992133727983077,1.0028745007107578
2024-08-13 17:32:00,206.72081249999997,0.9991335297921712,1.0024126117740506
2024-08-13 17:33:00,206.72248958333333,0.9989472576848838,1.0018165960914514
2024-08-13 17:34:00,206.72429166666663,0.9990366794580054,1.001669772859022
2024-08-13 17:35:00,206.72629166666664,0.9989878817074939,1.0019026989551394
2024-08-13 17:36:00,206.72792708333333,0.9994637050533995,1.001224197359866
2024-08-13 17:37:00,206.72886458333332,0.999524213524546,1.0014010235972703
2024-08-13 17:38:00,206.72947916666666,0.9990113956412309,1.001791038898751
2024-08-13 17:39:00,206.72992708333334,0.9990185925449151,1.0023384792928036
2024-08-13 17:40:00,206.73031249999997,0.9990129248281774,1.0023422971609266
