url,title,views,hashtags
https://www.tiktok.com/@cryptomasun/video/7372641897027833094,This is probably going to come true in the next year or two. Position accordingly  #XRP #Crypto #Bitcoin #money #greenscreen ,31500,"['xrp', 'crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7372248951577251077,You MUST watch this bullish #crypto video! Do you hold ALGO?! #bitcoin #money ,55100,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7372213447838256389,Huge breaking news for #XRP today! Big big big lets go! #crypto #bitcoin ,49400,"['xrp', 'crypto', 'bitcoin']"
https://www.tiktok.com/@cryptomasun/video/7371524808263142661,The WEF is crumbling under the pressure! Crypto is the key. #crypto #bitcoin #money #greenscreen ,39800,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7371524661227605253,The 3 “Safest” Crypto To Make You #Money  #crypto #bitcoin #greenscreen ,81100,"['money', 'crypto', 'bitcoin', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7371170015376051461,Huge update and news for HBAR  I am very bullish. Lets go. #crypto #bitcoin #money  ,45400,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7370461161440972038,I will not let myself miss this crypto bull run. DePIN narrative should be good! Lets see what happens! #crypto #bitcoin #money ,65700,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7368891695678721285,Quant Update For May 2024  #crypto #bitcoin #money ,57800,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7368862726703041797,"This is getting absolutely insane! Gamestop once again is exploding, as well as AMC! #crypto #stocks #gme #amc #gamestop ",36000,"['crypto', 'stocks', 'gme', 'amc', 'gamestop']"
https://www.tiktok.com/@cryptomasun/video/7368582466690485510,Interviewing a professional memecoin expert  #crypto #memecoin #bitcoin #money @megbzk ,45700,"['crypto', 'memecoin', 'bitcoin', 'money', '/@megbzk']"
https://www.tiktok.com/@cryptomasun/video/7368581814841036037,Do not miss this crypto bull run! Urgent warning to consider your portfolio and the crypto coins you hold! #crypto #bitcoin #money #greenscreen ,141200,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7362558018933755142,"Top 5 NEW altcoins I bought for 2024! We are holders of all of these (imagine me talking about coins I didnt even hold, how dumb would that be) #crypto #bitcoin #money ",120400,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7362551232533171462,Solana Memecoin Market Update! High risk degen warning!  #crypto #bitcoin #money ,84600,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7362260300097211654,SUPER important crypto lesson for the bull market! #crypto #bitcoin #money ,109900,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7362259650839940358,I believe we are still early to this crypto token & launchpad. Im studying  #crypto #bitcoin #money ,49100,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7361830940978449670,Explaining the #HBAR + Blackrock announcement contraversey!  #crypto #bitcoin #money #greenscreen ,48200,"['hbar', 'crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7361156052445842693,This is insanely massive for HBAR 🤯 Blackrock tokenized one of their money market funds using a product built on Hashgraph! BULLISH! #crypto #bitcoin #money #greenscreen ,109800,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7357069091863072006,Bitcoin is dipping!  Crypto is for the numb! #crypto #bitcoin #money ,125900,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7356659932030061830,Some crypto alpha for you all! VELO is flying under the radar imo  #crypto #bitcoin #solana #money ,93800,"['crypto', 'bitcoin', 'solana', 'money']"
https://www.tiktok.com/@cryptomasun/video/7356356619040591110,I dont buy XRP or HBAR anymore! STILL BULLISH THO! Study up and do research! #crypto #bitcoin #money ,250100,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7356356396452941062,Just added this DePIN #crypto gem  to our portfolio! #bitcoin #money #greenscreen ,77900,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7356355804003306757,"How would I spend $1,000 in #crypto TODAY. #bitcoin #money ",63900,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7355879060112690438,"Added this #AI / GPU crypto coin to my portfolio! READ  Yes, Im buying EVERYTHING I see potential in right now. This is why you need to do whats best for YOU. Im simply documenting my experience in #crypto #bitcoin #money ",90000,"['ai', 'crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7355148832558107910,Insane real estate crypto play that we are holding! #crypto #bitcoin #money #greenscreen ,39500,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7354425611428908294,This A.I crypto is insane and we just added it to our #crypto portfolio for the bull market. #bitcoin #money ,28100,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7354417019145555205,RWA narrative for #crypto in 2024 and 2025 could be insane! #bitcoin #money #greenscreen ,49400,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7353772952346709254,Crazy A.I + DePIN #crypto we are holding! #crypto #bitcoin #money #greenscreen ,29200,"['crypto', 'crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7353727806011985157,"Just went in on a new launch of an A.I crypto token through DAO Maker. No idea how it will do, but Im bullish on A.I as a whole! #crypto #bitcoin #money#greenscreen ",34300,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7353703310093782277,New #AI crypto that I hold in my portfolio! #crypto #bitcoin #money #greenscreen ,24200,"['ai', 'crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7353693272700669189,Wow! ChainSwap continues to absolutely rip. Do your own research! NFA! #crypto #bitcoin #money ,36500,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7353690939648380166,"I picked up this Metaverse crypto play, that narrative is currently asleep  I am preparing for when it wakes up. #crypto #metaverse #bitcoin #money #greenscreen ",20400,"['crypto', 'metaverse', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7352199153486679301,"Keeping an eye on this crypto for the GambleFi narrative, do your own research! #crypto #bitcoin #money ",25500,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7352198336490900741,Crypto for Canadians on Coinbase  #crypto #canada #bitcoin ,43800,"['crypto', 'canada', 'bitcoin']"
https://www.tiktok.com/@cryptomasun/video/7351510084612132101,Replying to @scl88scl Continue being ignorant and you will never win! We stay getting paid while they hate! #crypto #bitcoin #money #greenscreenvideo ,121400,"['/@scl88scl', 'crypto', 'bitcoin', 'money', 'greenscreenvideo']"
https://www.tiktok.com/@cryptomasun/video/7351456522171403525,Get your stuff together and focus folks! #crypto #bitcoin #money ,1400000,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7351132725274774789,Just added a new narrative play to my #crypto portfolio! #bitcoin #money #greenscreen ,35100,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7351132099233058053,You can now earn on #XRP by using the brand new XRPL to Coreum bridge  crazy stuff #crypto #bitcoin #money #greenscreen ,76900,"['xrp', 'crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7351131300310322437,I just bought a bag of this new #crypto for my portfolio. Interesting interoperability play. At your own risk folks! #crypto #bitcoin #money #greenscreen ,70200,"['crypto', 'crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7350384671349411077,RIPPLE ASKED TO PAY $2B IN FINES! 🤷 #xrp #crypto #bitcoin #money ,83600,"['xrp', 'crypto', 'bitcoin', 'money']"
