timestamp,AAVE,AKT,ALGO
2023-10-20T00:00:00.000Z,63.95110157,0.788666219,0.089606737
2023-10-21T00:00:00.000Z,65.90710544,0.895680806,0.091276586
2023-10-22T00:00:00.000Z,70.01903463,0.826365499,0.094095769
2023-10-23T00:00:00.000Z,79.35867731,0.841843187,0.094182412
2023-10-24T00:00:00.000Z,84.73883995,0.917698999,0.098131545
2023-10-25T00:00:00.000Z,83.34036596,0.979776313,0.100780414
2023-10-26T00:00:00.000Z,85.74369063,1.024856413,0.100804923
2023-10-27T00:00:00.000Z,80.80462021,0.953783001,0.101146924
2023-10-28T00:00:00.000Z,78.43633726,0.971988357,0.09930584
2023-10-29T00:00:00.000Z,80.08688654,1.08459769,0.101800333
2023-10-30T00:00:00.000Z,84.61674711,1.05917222,0.106404671
2023-10-31T00:00:00.000Z,83.78751206,1.063532368,0.112288009
2023-11-01T00:00:00.000Z,81.44345347,0.999080367,0.109361157
2023-11-02T00:00:00.000Z,88.99685798,1.036632156,0.114266668
2023-11-03T00:00:00.000Z,91.93683639,1.025818951,0.111298053
2023-11-04T00:00:00.000Z,90.08032122,1.07774134,0.111734656
2023-11-05T00:00:00.000Z,90.17740428,1.094925702,0.114814979
2023-11-06T00:00:00.000Z,89.23466695,1.1033218,0.12163857
2023-11-07T00:00:00.000Z,99.38003848,1.133864984,0.129212697
2023-11-08T00:00:00.000Z,97.58148924,1.166805401,0.123774564
2023-11-09T00:00:00.000Z,99.94424037,1.192573613,0.127527228
2023-11-10T00:00:00.000Z,100.7033979,1.054571182,0.123758627
2023-11-11T00:00:00.000Z,100.2118027,1.011516017,0.128091373
2023-11-12T00:00:00.000Z,96.76017599,1.046347627,0.133138412
2023-11-13T00:00:00.000Z,99.40495107,1.04541689,0.145796305
2023-11-14T00:00:00.000Z,93.24172151,1.004117602,0.133640336
2023-11-15T00:00:00.000Z,90.6812334,0.948404677,0.129175816
2023-11-16T00:00:00.000Z,95.43261054,1.043527893,0.142419892
2023-11-17T00:00:00.000Z,91.17172761,1.094287409,0.135813944
