,MSFT_BRK-B_p_val,MSFT_TSM_p_val,MSFT_LLY_p_val,MSFT_AVGO_p_val,MSFT_NVO_p_val,MSFT_PG_p_val,MSFT_KO_p_val,NVDA_NVO_p_val,AMZN_BRK-B_p_val,AMZN_TSM_p_val,AMZN_TSLA_p_val,AMZN_JPM_p_val,AMZN_PG_p_val,AMZN_CVX_p_val,META_BRK-B_p_val,META_NVO_p_val,META_MA_p_val,META_ASML_p_val,BRK-B_TSM_p_val,BRK-B_AVGO_p_val,BRK-B_NVO_p_val,BRK-B_ASML_p_val,BRK-B_CVX_p_val,TSM_LLY_p_val,TSM_AVGO_p_val,TSM_JPM_p_val,TSM_NVO_p_val,TSM_PG_p_val,TSM_KO_p_val,LLY_TSLA_p_val,LLY_AVGO_p_val,LLY_NVO_p_val,LLY_PG_p_val,TSLA_NVO_p_val,TSLA_UNH_p_val,TSLA_PG_p_val,AVGO_JPM_p_val,AVGO_NVO_p_val,AVGO_UNH_p_val,AVGO_SPY_p_val,AVGO_COST_p_val,AVGO_BAC_p_val,AVGO_MRK_p_val,AVGO_KO_p_val,JPM_SPY_p_val,JPM_MRK_p_val,JPM_CVX_p_val,NVO_V_p_val,NVO_UNH_p_val,NVO_SPY_p_val,NVO_XOM_p_val,NVO_MA_p_val,NVO_PG_p_val,NVO_ORCL_p_val,NVO_COST_p_val,NVO_ASML_p_val,NVO_HD_p_val,NVO_BAC_p_val,NVO_ABBV_p_val,NVO_CVX_p_val,WMT_CVX_p_val,V_MA_p_val,V_ABBV_p_val,V_CVX_p_val,UNH_MA_p_val,UNH_MRK_p_val,MA_ABBV_p_val,MA_CVX_p_val,HD_ABBV_p_val,BAC_CVX_p_val,BAC_KO_p_val,MRK_CVX_p_val,CVX_KO_p_val
352,0.897010982,0.928854261,0.723179484,0.343487957,0.214631909,0.374662158,0.945472411,0.434255389,0.275913645,0.406197958,0.388237041,0.375032608,0.222223891,0.295331352,0.534119749,0.713184914,0.662223768,0.326529061,0.179779878,0.361475891,0.302759197,0.146753768,0.611953162,0.001481538,0.147114591,0.002144756,0.0012187,0.000540361,0.001851932,0.837028333,0.447514139,0.649365139,0.725965857,0.824728601,0.988953492,0.992172858,0.372914419,0.018636789,0.373418996,0.177054361,0.044479853,0.382812782,0.692846175,0.538971953,0.269864261,0.074210806,0.464610386,0.947800511,0.803039013,0.372742032,0.984215101,0.932675428,0.624286756,0.417249669,0.198304506,0.475186596,0.738837336,0.836432485,0.988636862,0.975132356,0.742424039,0.834932313,0.067949448,0.341986898,0.876779878,0.454358408,0.080846119,0.197517057,0.860287441,0.840577968,0.850014688,0.050109996,0.203632163
353,0.899615803,0.93632617,0.690920694,0.278624569,0.215549828,0.288229369,0.944059088,0.445328883,0.363032657,0.399237932,0.355063657,0.377130868,0.222559026,0.301023816,0.754881709,0.865364577,0.665988111,0.530492004,0.202041011,0.334642421,0.279588047,0.366060567,0.546038841,0.005167273,0.089500491,0.001926929,0.004271095,0.002654386,0.004502334,0.820244083,0.43570802,0.67932672,0.697721938,0.982644374,0.993245346,0.990641271,0.491248234,0.040664432,0.295509136,0.215299416,0.03945494,0.484857334,0.85624466,0.45442278,0.270683314,0.057821977,0.42529757,0.96038385,0.804267097,0.375054245,0.985296649,0.911090908,0.541319295,0.405348077,0.177714285,0.510410492,0.750609581,0.83195335,0.98949171,0.981878453,0.691018123,0.806911586,0.16496624,0.290140043,0.784605949,0.507866925,0.086765156,0.194746589,0.857887428,0.834017967,0.836673331,0.05794115,0.250317278
354,0.951253504,0.961854702,0.842942236,0.319236202,0.018614917,0.505793232,0.96161974,0.450125385,0.366719026,0.411384485,0.362368026,0.38379936,0.209771927,0.308620818,0.62614235,0.82853677,0.647232983,0.604990047,0.238432327,0.252719933,0.198385555,0.242162416,0.489964531,0.003876835,0.011313494,0.000386806,0.002379744,0.001891573,0.00440825,0.838585435,0.405379986,0.625294899,0.719584455,0.974760057,0.990340833,0.983516149,0.416837311,0.022476554,0.303584196,0.222235705,0.065254828,0.31734967,0.544855209,0.49096098,0.162021924,0.052294289,0.340464007,0.986433294,0.76019793,0.31752996,0.985808268,0.773875328,0.528008531,0.284008657,0.262025356,0.397641731,0.750123069,0.810948614,0.989927945,0.975460915,0.589700539,0.734779659,0.030468406,0.393241268,0.761133831,0.356482508,0.195038173,0.458359261,0.904105708,0.802782967,0.631918071,0.049438733,0.14508687
355,0.945418124,0.958742356,0.805988721,0.314844801,0.025499676,0.434699652,0.948459436,0.455964694,0.26159365,0.418801459,0.351391009,0.402349522,0.21078339,0.346766885,0.630648855,0.788265325,0.61919354,0.579835988,0.282824867,0.295461559,0.210842754,0.281213163,0.549721838,0.000599384,0.009573142,0.001048034,0.000538007,0.000463179,0.001710089,0.842802954,0.436116649,0.623099368,0.686064759,0.985512582,0.990767051,0.990206976,0.398037377,0.02488524,0.31466302,0.217836841,0.050680291,0.313776795,0.526319409,0.538208586,0.231109068,0.08513429,0.436500848,0.993033873,0.685452851,0.27899464,0.990079401,0.749293704,0.485673458,0.219184765,0.253161153,0.402361673,0.762420306,0.79369368,0.99111037,0.987418172,0.67517615,0.760186037,0.035085938,0.286694516,0.620678146,0.275746986,0.230636612,0.535043094,0.814506405,0.855536929,0.818079848,0.282859807,0.182215048
356,0.973788786,0.966424859,0.872694049,0.086009139,0.290225255,0.560737927,0.958881526,0.469287836,0.360997568,0.420834498,0.387585907,0.383563019,0.200599318,0.339257795,0.54252672,0.795529156,0.622583032,0.482341743,0.272566118,0.321235397,0.284796682,0.315805043,0.561844637,0.000610763,0.002003662,0.001242879,0.000465473,0.00111703,0.001221158,0.847585911,0.424262077,0.648716225,0.693949621,0.98290787,0.991497307,0.992929391,0.480634624,0.021157029,0.443395947,0.286429164,0.01587425,0.451426842,0.297934898,0.711371091,0.322450313,0.054746302,0.497034477,0.993732796,0.691600903,0.294876502,0.991731906,0.651940417,0.542079843,0.202856812,0.159891751,0.492875981,0.763951255,0.817734159,0.987505595,0.991597236,0.756786309,0.694016151,0.028310876,0.191464668,0.694017498,0.251798818,0.280154354,0.410484935,0.567937995,0.866008171,0.798953941,0.272400024,0.237032107
357,0.967938451,0.941615062,0.891104301,0.107024808,0.272520449,0.54534486,0.951736133,0.468407386,0.219360239,0.417761145,0.400414895,0.370027682,0.200285833,0.30726273,0.501617348,0.685680839,0.582608851,0.406563496,0.263646555,0.309285188,0.253613652,0.333123752,0.478542365,0.000245746,0.004727859,0.001357706,0.046622858,0.002967843,0.032853195,0.855085941,0.460920574,0.703199387,0.672123878,1.0,0.993955978,1.0,0.444628898,0.024795225,0.174188606,0.113116018,0.019207407,0.424099737,0.263983656,0.347349612,0.323835836,0.057788681,0.454309743,0.993430039,0.694393689,0.253069067,0.990017994,0.499674569,0.53492377,0.1627871,0.160644302,0.475216829,0.764888591,0.804036573,0.98481378,0.991856738,0.763270795,0.702137671,0.029803218,0.167655227,0.494534619,0.179034411,0.266016641,0.341399288,0.723918484,0.825725675,0.776835724,0.212793646,0.355429482
358,0.968138986,0.972828698,0.876963229,0.084690396,0.322317681,0.518288558,0.966278717,0.47588284,0.257042227,0.361121942,0.364587139,0.350913413,0.219408459,0.269375703,0.526880973,0.677847144,0.510394941,0.42829949,0.258643327,0.225541318,0.188429281,0.279055231,0.413958261,0.00122154,0.005134808,0.000186318,0.000851822,0.001434844,0.00819822,0.832322378,0.430160439,0.646172243,0.715566536,0.993850841,0.992575215,1.0,0.495788559,0.037152759,0.221158176,0.145634181,0.026890788,0.451341404,0.279103299,0.466139232,0.349166661,0.091052032,0.509823344,0.993953831,0.660587776,0.221678215,0.990220033,0.563599434,0.495536264,0.11846641,0.346023214,0.468859077,0.739815623,0.796142977,0.98124128,0.991432691,0.842137367,0.743882293,0.073469623,0.093073305,0.341264038,0.162628703,0.40316664,0.400106843,0.618131635,0.839548539,0.829083888,0.392552375,0.273025821
359,0.964462352,0.976385992,0.773955095,0.040206236,0.1747176,0.423267734,0.959234072,0.516908564,0.278410326,0.332485678,0.319299332,0.33741251,0.214628038,0.272088716,0.518744927,0.673465963,0.352887269,0.332739095,0.280227345,0.131203391,0.147813258,0.183463188,0.314005513,0.000303533,0.000811818,0.000272758,0.000211302,0.000341345,0.000609864,0.845741894,0.382418899,0.640651482,0.715685803,0.990114832,1.0,1.0,0.614528762,0.026165589,0.179296916,0.117759601,0.023365949,0.596277966,0.269968589,0.496959844,0.396247935,0.09189111,0.573800241,1.0,0.622238607,0.25185938,0.993490838,0.742612502,0.525491129,0.139866757,0.148351483,0.618302093,0.733153455,0.817325607,0.988318669,0.993905129,0.865557499,0.699661306,0.081212598,0.59277471,0.173415541,0.17296397,0.355716284,0.273289356,0.708919778,0.888665417,0.866631555,0.326499612,0.245491933
360,0.975512288,0.98511987,0.699254768,0.058359349,0.162729602,0.451022769,0.960118661,0.545834663,0.257717714,0.386653202,0.308137113,0.369381392,0.194763321,0.340726776,0.484419522,0.610484627,0.309960057,0.391721887,0.318446349,0.227643341,0.226535541,0.276924244,0.348738734,0.000583499,0.000936172,0.001259394,0.000521817,0.000720585,0.000845348,0.857755382,0.442411235,0.596845734,0.719107746,0.992771359,0.993955337,1.0,0.61684759,0.059965969,0.312058082,0.247269734,0.047942459,0.552820432,0.291022324,0.655137119,0.32087547,0.107879714,0.497823342,1.0,0.649056868,0.204372356,0.992724383,0.590847773,0.494356065,0.334027176,0.115906885,0.503498417,0.679057382,0.844173545,0.987297687,0.99391278,0.900929167,0.744023577,0.10075421,0.145019303,0.16660922,0.153725953,0.310129123,0.238474558,0.919299251,0.776567076,0.776980132,0.552066669,0.388577463
361,0.972538127,0.981828493,0.723429329,0.080438835,0.201612285,0.404119492,0.947698533,0.513924699,0.267296941,0.303039821,0.266605971,0.354573283,0.192410534,0.366746906,0.484414675,0.565607513,0.383331852,0.375445866,0.285788308,0.234190326,0.223073746,0.274621445,0.324118426,0.004063011,0.004030836,0.000123665,0.00385876,0.004044108,0.004247737,0.854354574,0.497381218,0.590137004,0.658588746,0.99219947,0.991186638,1.0,0.829646865,0.139333512,0.449290153,0.415345147,0.099793285,0.830277133,0.585502263,0.779779976,0.324265724,0.15077285,0.486105694,0.993608237,0.620643469,0.182348535,0.987277814,0.593644026,0.417136816,0.285490763,0.124531177,0.431427795,0.684660915,0.828269859,0.97959289,0.992610222,0.853927559,0.68713916,0.035549911,0.232201142,0.229127111,0.230248069,0.2288076,0.180872709,0.830171868,0.706651806,0.776012042,0.00830098,0.508518253
