name1,name2, P-Value , OLS-constant , OLS-coeff , Adjusted-R-squared , key_score ,last_updated
NKE,URBN, 0.79 , 138.87 , (1.16), 0.07 , 0.48 ,8/9/2024
GES,ROST, 0.78 , 43.56 , (0.13), 0.07 , 1.01 ,8/9/2024
GPS,TJX, 0.24 , 12.52 , 0.10 , 0.07 , 0.36 ,8/9/2024
ANF,UAA, 0.74 , 216.91 , (10.29), 0.07 , -   ,8/9/2024
AEO,URBN, 0.55 , 30.55 , (0.19), 0.06 , -   ,8/9/2024
BKE,BURL, 0.26 , 34.41 , 0.02 , 0.06 , 0.37 ,8/9/2024
TJX,UAA, 0.96 , 122.73 , (2.80), 0.06 , 0.18 ,8/9/2024
AEO,BKE, 0.84 , 12.16 , 0.27 , 0.06 , 0.21 ,8/9/2024
GPS,URBN, 0.23 , 12.48 , 0.25 , 0.05 , 0.15 ,8/9/2024
BKE,GES, 0.37 , 34.93 , 0.13 , 0.05 , 1.29 ,8/9/2024
BOOT,GPS, 0.95 , 76.26 , 1.48 , 0.05 , 0.05 ,8/9/2024
BKE,ROST, 0.43 , 30.04 , 0.06 , 0.04 , 0.71 ,8/9/2024
FL,LULU, 0.36 , 21.42 , 0.01 , 0.04 , 0.12 ,8/9/2024
LULU,ROST, 0.96 , 14.34 , 2.34 , 0.04 , 0.27 ,8/9/2024
FL,TJX, 0.18 , 14.38 , 0.11 , 0.04 , 0.06 ,8/9/2024
CRI,FL, 0.96 , 58.07 , 0.49 , 0.03 , 0.05 ,8/9/2024
BKE,GPS, 0.10 , 41.14 , (0.12), 0.03 , 0.74 ,8/9/2024
BKE,BOOT, 0.33 , 40.29 , (0.02), 0.02 , 1.94 ,8/9/2024
CRI,URBN, 0.86 , 95.90 , (0.60), 0.02 , 1.35 ,8/9/2024
BKE,CRI, 0.41 , 35.94 , 0.03 , 0.02 , 0.98 ,8/9/2024
UAA,URBN, 0.68 , 5.17 , 0.05 , 0.02 , 0.06 ,8/9/2024
CRI,ROST, 0.90 , 38.91 , 0.22 , 0.02 , 0.44 ,8/9/2024
GES,UAA, 0.86 , 20.06 , 0.68 , 0.01 , 0.59 ,8/9/2024
BKE,NKE, 0.26 , 40.38 , (0.02), 0.01 , 1.60 ,8/9/2024
GPS,LULU, 0.22 , 24.74 , (0.01), 0.01 , 0.24 ,8/9/2024
FL,NKE, 0.35 , 21.01 , 0.05 , 0.01 , 0.79 ,8/9/2024
CAL,ROST, 0.48 , 43.16 , (0.05), 0.01 , 1.21 ,8/9/2024
FL,GPS, 0.22 , 29.64 , (0.19), 0.01 , 0.18 ,8/9/2024
CAL,FL, 0.57 , 34.21 , 0.08 , 0.01 , 0.30 ,8/9/2024
BKE,LULU, 0.35 , 37.21 , 0.00 , 0.01 , 1.62 ,8/9/2024
BKE,TJX, 0.34 , 35.37 , 0.03 , 0.01 , 0.96 ,8/9/2024
BOOT,FL, 0.96 , 122.10 , (0.47), 0.00 , 0.31 ,8/9/2024
GES,GPS, 0.86 , 22.28 , 0.11 , 0.00 , 0.57 ,8/9/2024
LULU,URBN, 0.94 , 451.31 , (2.50), 0.00 , 0.08 ,8/9/2024
FL,GES, 0.22 , 27.80 , (0.10), (0.00), 0.21 ,8/9/2024
BURL,UAA, 0.90 , 236.94 , (2.69), (0.00), 0.24 ,8/9/2024
CAL,URBN, 0.49 , 38.87 , (0.06), (0.00), 0.34 ,8/9/2024
BOOT,ROST, 0.93 , 87.19 , 0.16 , (0.00), 0.13 ,8/9/2024
CAL,GPS, 0.54 , 37.08 , (0.04), (0.01), 0.59 ,8/9/2024
GPS,NKE, 0.21 , 23.58 , (0.01), (0.01), 0.05 ,8/9/2024
AEO,GPS, 0.76 , 22.90 , (0.02), (0.01), 0.09 ,8/9/2024
AEO,FL, 0.75 , 22.80 , (0.01), (0.01), 0.15 ,8/9/2024
NKE,ROST, 0.89 , 86.64 , 0.02 , (0.01), 0.17 ,8/9/2024
ANF,FL, 0.74 , 143.12 , 0.03 , (0.01), 0.32 ,8/9/2024
CRI,GPS, 0.89 , 70.37 , 0.01 , (0.01), -   ,8/9/2024
