date,BTCUSDT_ETHUSDT_p_val,BTCUSDT_BNBUSDT_p_val,BTCUSDT_SOLUSDT_p_val,BTCUSDT_XRPUSDT_p_val,BTCUSDT_DOGEUSDT_p_val,BTCUSDT_ADAUSDT_p_val,BTCUSDT_TRXUSDT_p_val,BTCUSDT_AVAXUSDT_p_val,BTCUSDT_SHIBUSDT_p_val,ETHUSDT_BNBUSDT_p_val,ETHUSDT_SOLUSDT_p_val,ETHUSDT_XRPUSDT_p_val,ETHUSDT_DOGEUSDT_p_val,ETHUSDT_ADAUSDT_p_val,ETHUSDT_TRXUSDT_p_val,ETHUSDT_AVAXUSDT_p_val,ETHUSDT_SHIBUSDT_p_val,BNBUSDT_SOLUSDT_p_val,BNBUSDT_XRPUSDT_p_val,BNBUSDT_DOGEUSDT_p_val,BNBUSDT_ADAUSDT_p_val,BNBUSDT_TRXUSDT_p_val,BNBUSDT_AVAXUSDT_p_val,BNBUSDT_SHIBUSDT_p_val,SOLUSDT_AVAXUSDT_p_val,SOLUSDT_SHIBUSDT_p_val,XRPUSDT_DOGEUSDT_p_val,XRPUSDT_ADAUSDT_p_val,XRPUSDT_TRXUSDT_p_val,XRPUSDT_AVAXUSDT_p_val,XRPUSDT_SHIBUSDT_p_val,DOGEUSDT_ADAUSDT_p_val,DOGEUSDT_TRXUSDT_p_val,DOGEUSDT_AVAXUSDT_p_val,DOGEUSDT_SHIBUSDT_p_val,ADAUSDT_TRXUSDT_p_val,ADAUSDT_AVAXUSDT_p_val,ADAUSDT_SHIBUSDT_p_val,TRXUSDT_AVAXUSDT_p_val,TRXUSDT_SHIBUSDT_p_val,AVAXUSDT_SHIBUSDT_p_val
6/29/2020,0.6643354937512795,0.8201349998784213,0.4115967676625765,0.8419521365938996,0.021947130796277862,0.509381079939852,0.5865640432664729,0.4380216949540221,0.4986210054587522,0.8989573789329754,0.359374943462515,0.8841257230412976,0.46309438835975925,0.434540684765101,0.7678274831768912,0.3019178374005902,0.3359798535164983,0.33806985515499044,0.03106146447422091,0.7565182455090429,0.5095329565521393,0.038475162033115136,0.2924344172273839,0.2878209731750068,0.9543677058873431,0.1650038538298142,0.9392081784431693,0.8467787708707145,0.9858148372030178,0.5617319591265828,0.5768260859471028,0.7132823305030642,0.6789339831645053,0.5011602790498129,0.5127144441914999,0.9898160249328567,0.3276306988594051,0.3875553762638802,0.5740579065754468,0.5722886261376439,0.31527534567470483
6/30/2020,0.6797627051949787,0.8272966211857,0.474651194768398,0.838526738782216,0.026933391146685307,0.5317355663578139,0.562420679384154,0.436937783168052,0.5779873171744394,0.9166973889752452,0.399472873730265,0.8867689569010765,0.4838192664737797,0.4826644192890516,0.7225004339079396,0.33414582297960327,0.2859660119198463,0.3784486874539091,0.03497237214297567,0.7525974399158347,0.5403386584741388,0.0517218869684845,0.32438251939240714,0.3177572747190057,0.9765664263611128,0.2744188573580172,0.9469533471833624,0.8474589364083505,0.9849980315227446,0.6138303462131107,0.58987087199355,0.7555710006089963,0.6941327249575958,0.4941242689386223,0.5002874319426868,0.992223893578849,0.3998732573062761,0.2851141058632583,0.6105313403848245,0.6088221950055785,0.31576127555284106
7/1/2020,0.6599496161107932,0.8291029307630089,0.5613809745226256,0.8526947272277823,0.02825786558798613,0.5413537807569235,0.5664072750933651,0.43112702908257233,0.5800870489543494,0.9070053574510817,0.41364406895542905,0.8839473293804825,0.48134124608193024,0.4638408416361706,0.7043599172708008,0.3273631713230021,0.2609743249053056,0.4023108799690287,0.03929497264718713,0.7668735589422079,0.5289772574087732,0.0689261120276093,0.3200812756830746,0.3169066866339394,0.9938224088737431,0.6847757762462514,0.9499387754703428,0.8470892183598788,0.9873088122294651,0.6046251294323877,0.5868086994028652,0.7266549181241008,0.6770005977257108,0.4885626224986827,0.5271139491987827,0.9906507923490921,0.44527768772345483,0.22846580207419037,0.6001545578487707,0.5946150573824321,0.32653152472091945
7/2/2020,0.6587239213653336,0.8211195368845883,0.565357329025479,0.858833722040492,0.03488062439907777,0.7064797903818025,0.5574398587649735,0.45240249532543375,0.5791847166369135,0.9016171602559702,0.36287137110716994,0.9207729223065176,0.48955636704961075,0.61002490329949,0.7178343813978594,0.31714806498466197,0.23800649271438212,0.3309560727774602,0.04964085056184788,0.7467119069022521,0.5574856296126782,0.06679275948489746,0.29165305031163635,0.2916523990995747,0.9936071448229541,0.7178257326738903,0.9486208815148297,0.8548205935759479,0.9898773378799717,0.5910019744294033,0.5769696624302235,0.8526998949436988,0.6948187850826946,0.49666402593387426,0.5335450323468139,1.0,0.5603977640752575,0.30375579825488885,0.5930038392106194,0.5830721822149132,0.3101094106615658
7/3/2020,0.6625939367865658,0.8180308453329395,0.6605018474810609,0.8366177425979819,0.028758947827311608,0.6642420886980156,0.5495724724360684,0.47367598419892404,0.6249380602758805,0.8918402997356283,0.3986732154689309,0.8203569712576844,0.44327504672511314,0.5516538037425013,0.6679301517785341,0.29599823598184094,0.2725283803699731,0.36788549146164423,0.011631727343277169,0.7673536330231021,0.545460985520252,0.09082564851305452,0.28879286383425135,0.2882811000907943,1.0,0.6308618066460625,0.9517692396901981,0.8433460408364896,0.9899976380919278,0.5972999774506339,0.5815114138781312,0.7949077851511515,0.6939920815854763,0.4952790244456608,0.5387375304754779,1.0,0.5335683774908712,0.3192408940434126,0.5905174718168855,0.5823999689674518,0.3176881447671739
7/4/2020,0.6323941632523501,0.8213348762123995,0.7011111723911603,0.7978151722991249,0.031946341377412174,0.7159580790238557,0.5438252843748486,0.47219673900393977,0.6516350552818215,0.8805048360914395,0.4067923589123069,0.8013728346583944,0.4464317389620081,0.6060524649622288,0.652385563388129,0.3087887363793856,0.25847907019671124,0.36870903694298607,0.0253004735572004,0.7627353694565755,0.559496000108177,0.10538130795995831,0.3030785894505791,0.29986678603431577,1.0,0.5933398832229198,0.9439107063895118,0.8323580473510157,0.9915799354292749,0.5961319751886452,0.5799505445621942,0.8232232311586505,0.6926333137264244,0.5118465730101509,0.5607674786562192,1.0,0.5101048318769643,0.2381198410141041,0.600523217812359,0.5947994724086778,0.31715686538018667
7/5/2020,0.5177337193208931,0.8255273488462986,0.6781169354841241,0.8585797683903007,0.039801111975599324,0.7183035680136011,0.5800969456666547,0.46509171237482777,0.6533654565784823,0.8742470405078889,0.38161845195548305,0.8711220550281973,0.4353337170443723,0.5958028266176342,0.6388031805721162,0.30045064692360457,0.27292559670689553,0.338845303492042,0.020040376072500473,0.6482201706217433,0.5394934360506792,0.10012294276330491,0.2931472131407926,0.2913889921001679,1.0,0.37185865648415295,0.93919949594652,0.8212597465948059,0.9928125630860053,0.584819076598026,0.5726497336878267,0.8462834492441398,0.704996664879299,0.5254918307913737,0.5738040613065984,1.0,0.5009410707674872,0.23461061634578384,0.6023088943120611,0.594891494710692,0.34671276008031404
7/6/2020,0.5199532027878523,0.8174872510537229,0.6583100674500035,0.8531082231748495,0.03276608749802164,0.6946276685239178,0.5734157589621267,0.467676878425456,0.6436989083851449,0.8760625581278912,0.39044200377997057,0.7840358892009704,0.47606830464433814,0.5174250576667773,0.6055267286360613,0.3070944826196674,0.2631110148358774,0.3461973356325777,0.021664922015985747,0.6516949940046167,0.508684950049603,0.11932955637631021,0.3058440702196473,0.30285808076598497,0.9939229656451387,0.33280967322669686,0.9435733103594077,0.8038336436333062,0.9915813249160855,0.5920106745643541,0.5751604870183227,0.8157030507279726,0.704615309767245,0.5118357242956739,0.5505413923886935,1.0,0.4605425654215662,0.20918108359158788,0.6092595564796637,0.6022720894748542,0.3352486049080577
7/7/2020,0.5764860403854414,0.8270405128378572,0.6425880443177052,0.8458090023587024,0.018173252239494297,0.7137189112320115,0.5748649869390673,0.46665514533327673,0.6557471057964559,0.8950396151426421,0.3321177823730139,0.884332515454396,0.2890367373834685,0.48317795463825464,0.630117808147369,0.3098563532846045,0.3242037806764846,0.31061112456913414,0.01699227775664818,0.7426890404452596,0.4647789075755685,0.16038085349286352,0.2944772099540761,0.29592787177160373,0.9936954893688832,0.2108554495913753,0.9610380646984615,0.7565922854791185,0.9902370922714173,0.5637194695456285,0.5653139527628901,0.6031545234557509,0.6564741036465617,0.4890815079320924,0.5371108249283176,1.0,0.563809431495376,0.24514851297847096,0.6237927977444446,0.6075963758534748,0.3295288663997672
7/8/2020,0.5032465815983491,0.7904293421296701,0.6450913436017928,0.8521554069864382,0.03499025055527173,0.9104068083892249,0.582155306985852,0.46836798742493163,0.6533631082953103,0.848891671977145,0.42223792205425287,0.873506945170011,0.2912716999054275,0.7087963669530237,0.6711983787549982,0.3726086707213867,0.32409153311412314,0.32259059773620546,0.02779550098429296,0.9157582036058205,0.4762355046957774,0.06663860190710333,0.31765150671428155,0.32015818732401824,0.9935194553435173,0.15327711844076752,0.9895182273147817,0.7600892198320831,0.9837388887077017,0.5761695182827268,0.5616518398053678,0.4416314685559092,0.728044949639657,0.6632191923417813,0.7107134980547966,1.0,0.8074324292886725,0.3579962263131462,0.6375050847668738,0.6246527202409496,0.324624040006238
