timestamp,AAVE_AKT_coint_score,AAVE_AKT_p_val,AAVE_ALGO_coint_score,AAVE_ALGO_p_val,AKT_ALGO_coint_score,AKT_ALGO_p_val
2023-11-10T00:00:00.000Z,0.9881713482179468,1.0,-1.5002208528516014,0.7611073770130059,-2.1693858898637144,0.44020210830088813
2023-11-11T00:00:00.000Z,0.9866240503145459,1.0,-1.2969616018838825,0.8306505917634043,-2.279911017133746,0.383618677259814
2023-11-12T00:00:00.000Z,0.83598850042208,0.9939037926041638,-1.6818065647409244,0.6851619034462186,-2.3732575220505887,0.33762316908752155
2023-11-13T00:00:00.000Z,0.3958193649410265,0.9918516464695893,-1.8050891383648475,0.6272468529870572,-2.4221855989914043,0.3144206211189364
2023-11-14T00:00:00.000Z,0.5944188295565112,0.9931873395928743,-1.9932406117241281,0.5320898900365202,-2.50119122361895,0.2785439101351702
2023-11-15T00:00:00.000Z,-0.03270181729462308,0.9851110754631546,-1.9099164834092175,0.5749689452476849,-2.592031413216596,0.24005410918960313
2023-11-16T00:00:00.000Z,-0.24795647929949,0.9781407069977888,-2.096780220265143,0.4780503817593822,-2.590250769731412,0.24077801815600858
2023-11-17T00:00:00.000Z,0.04811038794866995,0.986957517139051,-1.9178626706162822,0.5709203630188625,-2.2760507578188283,0.38556213526720434
2023-11-18T00:00:00.000Z,-0.2770458831548472,0.9769106115105141,-1.936906751263497,0.5611781102740712,-2.2918383679774186,0.37763236383495896
2023-11-19T00:00:00.000Z,-0.43902769853397006,0.9683998131245095,-1.825664290436843,0.6171743137165551,-1.9451963645420776,0.5569213482635387
2023-11-20T00:00:00.000Z,-0.5415684653316858,0.9612371688790443,-1.907444413529794,0.5762263812041989,-1.83728496669463,0.6114410713372883
2023-11-21T00:00:00.000Z,-0.4991839979508566,0.9643896140919588,-1.9434547890548919,0.5578164221559776,-1.8125318042998366,0.623615207986985
2023-11-22T00:00:00.000Z,-0.6803012716956933,0.948722401982688,-1.968567427340161,0.5448734240019055,-1.4725758677815037,0.7715571449190899
2023-11-23T00:00:00.000Z,-0.8580653496019349,0.9266336467192096,-2.3366375107670225,0.3554205155379244,-1.61204283706241,0.7157801231529543
2023-11-24T00:00:00.000Z,-0.7457730652269203,0.9414668009403803,-2.1857679179091,0.4317143841005304,-1.2622867154650546,0.8408274416279895
2023-11-25T00:00:00.000Z,-0.8644052738599939,0.9256975862251412,-2.120336428816037,0.4657422088119746,-1.5403732170865665,0.7453874117528949
2023-11-26T00:00:00.000Z,-1.009102728217221,0.9011071704021976,-2.0130308745063172,0.5217980634553187,-1.5676515994125035,0.7343482319315693
2023-11-27T00:00:00.000Z,-1.4352696421795064,0.7851683464214798,-2.088981403161721,0.4821280684018706,-1.90244109259193,0.5787682438411748
2023-11-28T00:00:00.000Z,-1.9015767168511304,0.5792069487224036,-2.129595656662025,0.46090976604571604,-2.146816489858362,0.4519342139088471
2023-11-29T00:00:00.000Z,-1.6746860557778764,0.6883638521813302,-2.137858868780267,0.4566007746371722,-1.8693712709315318,0.5954565830585119
